Date,Product,Region,Channel,Quantity,Unit_Price,Revenue,Discount_Pct,Customer_Rating
2025-11-24,Phone,West,Online,9,632.6,5693.37,0,4.5
2025-10-30,Mouse,West,Online,3,44.41,133.23,0,4.2
2025-11-29,Monitor,South,Partner,15,343.38,4635.66,10,4.7
2025-08-05,Case,North,Retail,7,18.16,101.67,20,3.2
2025-06-26,Webcam,East,Online,2,84.81,144.17,15,3.2
2025-10-10,Charger,North,Online,20,30.91,494.57,20,3.4
2025-12-05,Headphones,Central,Retail,3,157.14,377.13,20,3.2
2025-11-22,Case,North,Partner,12,17.72,212.62,0,4.4
2025-11-22,Tablet,West,Online,8,452.07,3616.53,0,3.5
2025-12-17,Case,East,Retail,2,20.3,40.61,0,4.6
2025-02-03,Headphones,East,Partner,19,161.31,2605.18,15,4.3
2025-08-23,Tablet,West,Retail,8,427.89,2909.63,15,3.5
2025-10-26,Mouse,North,Online,5,47.65,214.41,10,4.5
2025-11-18,Tablet,East,Partner,14,475.23,5987.88,10,3.8
2025-05-09,Monitor,West,Retail,1,374.18,318.06,15,4.4
2025-11-25,Case,Central,Partner,14,17.52,245.33,0,4.9
2025-04-02,Monitor,South,Retail,10,377.8,3022.41,20,4.2
2025-03-24,Monitor,North,Retail,17,380.65,6471.12,0,4.0
2025-06-07,Headphones,North,Partner,19,135.83,2580.7,0,4.0
2025-03-06,Tablet,East,Online,18,463.35,8340.22,0,4.7
2025-10-04,Headphones,West,Retail,13,155.35,1716.57,15,3.9
2025-03-03,Headphones,South,Online,11,140.8,1548.76,0,3.5
2025-02-06,Laptop,Central,Partner,2,850.26,1360.42,20,4.0
2025-09-06,Headphones,East,Online,19,150.17,2567.89,10,4.6
2025-02-18,Phone,North,Partner,12,721.23,8221.97,5,4.7
2025-12-01,Phone,South,Partner,11,637.57,5610.65,20,3.5
2025-08-18,Tablet,East,Partner,9,441.98,3778.97,5,4.8
2025-02-20,Laptop,North,Online,18,926.36,13339.52,20,
2025-03-27,Mouse,East,Online,7,48.86,273.61,20,3.1
2025-07-19,Charger,West,Partner,15,31.47,472.11,0,4.9
2025-09-07,Tablet,Central,Online,7,421.15,2948.07,0,4.1
2025-01-26,Webcam,South,Online,17,88.59,1505.98,0,4.0
2025-11-01,Phone,South,Partner,8,723.49,5498.56,5,4.8
2025-11-01,Laptop,Central,Online,14,920.46,10953.53,15,4.0
2025-12-09,Case,Central,Online,13,18.01,234.09,0,3.6
2025-01-05,Keyboard,Central,Online,19,80.91,1537.37,0,3.4
2025-06-28,Phone,Central,Partner,12,752.02,9024.26,0,4.7
2025-12-01,Monitor,South,Retail,18,314.65,5663.63,0,3.2
2025-03-01,Phone,Central,Online,5,732.89,3664.45,0,3.4
2025-12-18,Charger,Central,Online,9,29.03,209.03,20,4.3
2025-01-02,Case,East,Partner,9,20.03,180.27,0,4.1
2025-01-05,Phone,Central,Partner,5,639.62,2878.29,10,
2025-10-10,Tablet,North,Retail,2,442.69,885.39,0,4.9
2025-04-18,Headphones,West,Partner,12,153.97,1478.16,20,4.7
2025-03-21,Headphones,Central,Retail,6,159.87,911.23,5,
2025-12-09,Headphones,South,Online,4,142.05,539.79,5,4.7
2025-08-24,Case,South,Retail,8,18.26,146.08,0,
2025-06-18,Charger,West,Retail,9,31.11,280.02,0,3.8
2025-01-15,Phone,North,Online,9,751.71,6765.39,0,5.0
2025-11-02,Mouse,East,Partner,11,47.49,496.25,5,4.0
2025-04-08,Charger,South,Retail,14,26.36,369.0,0,4.6
2025-08-09,Phone,Central,Partner,11,761.75,7541.35,10,4.7
2025-06-08,Mouse,East,Partner,10,47.3,425.67,10,3.8
2025-03-31,Webcam,South,Retail,13,90.23,1055.69,10,3.6
2025-10-24,Webcam,East,Partner,15,91.75,1307.49,5,3.4
2025-03-28,Phone,South,Partner,20,668.77,13375.47,0,4.9
2025-06-08,Headphones,East,Partner,5,158.14,790.68,0,
2025-02-07,Keyboard,East,Online,19,77.65,1475.32,0,3.8
2025-03-17,Laptop,West,Retail,4,969.6,3102.72,20,3.4
2025-01-26,Monitor,West,Partner,4,331.49,1259.68,5,3.9
2025-11-01,Case,East,Partner,15,20.71,279.59,10,4.8
2025-08-17,Tablet,Central,Partner,16,470.88,7157.38,5,3.5
2025-09-06,Headphones,Central,Partner,3,142.28,362.82,15,3.5
2025-02-11,Tablet,East,Retail,13,417.64,4614.97,15,3.4
2025-06-19,Monitor,West,Partner,2,346.62,693.24,0,3.8
2025-01-11,Webcam,East,Partner,1,86.87,86.87,0,3.8
2025-10-07,Webcam,East,Retail,16,96.08,1537.3,0,4.0
2025-12-09,Mouse,East,Partner,15,51.2,767.95,0,4.1
2025-10-16,Laptop,Central,Retail,14,824.19,11538.71,0,3.4
2025-06-17,Headphones,East,Retail,11,147.65,1299.32,20,3.6
2025-02-11,Keyboard,North,Partner,18,71.41,1285.31,0,3.7
2025-01-21,Laptop,South,Online,7,979.84,5487.11,20,
2025-03-06,Keyboard,Central,Online,19,81.68,1551.87,0,3.5
2025-11-07,Webcam,North,Partner,4,97.25,311.21,20,4.9
2025-01-14,Charger,West,Partner,13,29.44,363.58,5,3.4
2025-11-18,Headphones,West,Online,10,137.14,1097.09,20,4.6
2025-06-27,Monitor,East,Retail,12,344.0,4128.01,0,3.7
2025-02-24,Mouse,West,Partner,15,53.52,682.33,15,3.4
2025-05-19,Webcam,West,Retail,18,94.49,1360.6,20,3.9
2025-06-15,Headphones,East,Partner,3,158.86,476.57,0,3.5
2025-11-09,Mouse,Central,Retail,16,47.4,606.68,20,4.0
2025-06-24,Charger,South,Online,9,31.21,252.77,10,
2025-05-04,Mouse,East,Online,8,48.89,332.44,15,4.4
2025-02-17,Charger,West,Partner,8,27.39,219.08,0,3.7
2025-06-26,Mouse,Central,Retail,18,53.87,969.61,0,3.9
2025-04-29,Phone,South,Online,11,729.94,8029.29,0,4.9
2025-04-21,Keyboard,North,Online,19,75.47,1147.12,20,3.6
2025-06-01,Headphones,North,Online,10,144.85,1448.54,0,3.3
2025-10-11,Charger,North,Partner,5,30.15,128.12,15,4.0
2025-05-26,Keyboard,East,Online,11,78.66,865.3,0,3.5
2025-02-03,Mouse,West,Retail,19,48.92,790.04,15,3.3
2025-02-13,Headphones,West,Retail,14,137.63,1734.14,10,4.2
2025-08-19,Keyboard,West,Partner,19,75.8,1368.16,5,4.2
2025-02-20,Headphones,West,Online,9,152.74,1168.46,15,3.5
2025-03-22,Laptop,Central,Partner,20,882.55,16768.48,5,3.5
2025-08-21,Phone,South,Retail,9,725.2,5221.41,20,4.2
2025-02-28,Monitor,South,Retail,5,329.79,1648.96,0,3.1
2025-11-01,Webcam,East,Retail,15,96.5,1447.46,0,3.6
2025-09-14,Monitor,East,Partner,3,348.57,941.13,10,
2025-06-15,Webcam,West,Partner,3,84.56,253.67,0,4.7
2025-01-11,Charger,Central,Online,6,29.44,167.82,5,3.9
2025-10-27,Mouse,Central,Partner,16,50.32,805.13,0,3.8
2025-02-23,Tablet,West,Online,16,433.72,6939.46,0,3.8
2025-08-21,Phone,West,Online,11,673.07,7403.76,0,3.8
2025-12-03,Monitor,East,Partner,2,346.35,692.69,0,4.2
2025-08-15,Laptop,East,Online,18,845.7,15222.6,0,3.9
2025-01-15,Webcam,North,Online,6,94.33,565.97,0,4.1
2025-02-28,Keyboard,Central,Retail,5,86.06,408.8,5,3.6
2025-09-05,Keyboard,West,Partner,18,74.95,1349.12,0,4.8
2025-03-11,Phone,North,Retail,14,667.72,9348.07,0,4.0
2025-06-02,Webcam,Central,Retail,16,90.42,1157.41,20,4.1
2025-10-10,Monitor,West,Retail,11,340.43,2995.78,20,4.4
2025-04-30,Mouse,South,Retail,16,44.53,605.58,15,3.8
2025-01-19,Tablet,East,Online,19,449.21,8534.91,0,4.7
2025-09-27,Keyboard,North,Retail,5,71.34,338.88,5,4.9
2025-05-16,Case,West,Retail,13,19.47,215.13,15,3.7
2025-06-12,Keyboard,Central,Online,2,84.88,152.79,10,4.3
