Employee_ID,Department,Level,City,Years_Experience,Salary_USD,Performance_Score,Training_Hours,Satisfaction,Left_Company
EMP-0001,Marketing,Lead,Hanoi,25,3805,4.4,28,3,1
EMP-0002,HR,Manager,Can Tho,17,3957,4.7,42,6,0
EMP-0003,Finance,Director,HCMC,0,3980,2.7,117,10,0
EMP-0004,Operations,Senior,Danang,12,2625,3.2,36,1,1
EMP-0005,Finance,Manager,HCMC,14,3887,4.0,10,2,0
EMP-0006,Operations,Junior,Can Tho,6,1141,4.6,13,4,0
EMP-0007,Operations,Junior,Danang,23,1995,,4,2,0
EMP-0008,Finance,Junior,Can Tho,18,1777,3.2,51,7,0
EMP-0009,Operations,Junior,Danang,17,1531,2.2,5,2,0
EMP-0010,Operations,Senior,Hanoi,19,2527,3.3,84,1,1
EMP-0011,Sales,Director,HCMC,12,5501,2.9,38,6,0
EMP-0012,Finance,Manager,Danang,4,3038,,68,9,0
EMP-0013,Sales,Director,Danang,23,6195,3.2,65,3,0
EMP-0014,Sales,Junior,HCMC,5,1091,2.2,70,8,0
EMP-0015,Marketing,Director,Hanoi,2,4263,3.7,45,3,1
EMP-0016,Engineering,Senior,Hanoi,19,2518,3.5,84,5,0
EMP-0017,Finance,Manager,Can Tho,11,4045,2.5,100,4,0
EMP-0018,Marketing,Senior,HCMC,4,2097,3.4,99,5,0
EMP-0019,Sales,Director,HCMC,19,4886,4.5,25,5,0
EMP-0020,Operations,Junior,HCMC,0,884,4.4,98,10,0
EMP-0021,Finance,Senior,Danang,17,2863,4.0,50,4,0
EMP-0022,Sales,Lead,Hanoi,16,3308,3.5,108,10,0
EMP-0023,HR,Mid,HCMC,5,1474,4.6,93,8,0
EMP-0024,Sales,Lead,Can Tho,7,2522,2.1,116,6,0
EMP-0025,Engineering,Junior,Hanoi,20,1758,3.6,106,5,0
EMP-0026,HR,Director,Danang,12,4918,4.5,48,4,0
EMP-0027,Marketing,Lead,Danang,25,3737,3.5,21,4,1
EMP-0028,Sales,Mid,Can Tho,5,1327,4.5,53,6,0
EMP-0029,Operations,Lead,Hanoi,15,3033,4.5,,1,0
EMP-0030,Operations,Manager,HCMC,1,3625,2.5,66,7,0
EMP-0031,Operations,Director,Can Tho,21,5984,2.6,60,8,0
EMP-0032,Finance,Mid,HCMC,25,2480,3.9,21,6,0
EMP-0033,Sales,Lead,Hanoi,12,2824,,116,9,0
EMP-0034,Finance,Junior,HCMC,5,1044,2.1,64,2,0
EMP-0035,Operations,Director,Can Tho,13,5180,2.1,29,8,0
