Month,Website_Visitors,Signups,Active_Users,Revenue_USD,Churn_Rate,Support_Tickets,NPS_Score
2024-01,11824,489,1904,16579.14,8.2,109,38
2024-01,10333,587,2168,16263.17,8.5,212,41
2024-03,10497,589,1995,14861.66,7.9,145,41
2024-03,10243,531,2069,17580.8,8.4,231,41
2024-04,10126,479,2260,17176.33,6.9,127,46
2024-05,10643,600,2178,16654.94,7.1,148,42
2024-06,12687,523,2385,15740.27,7.2,248,49
2024-07,12698,594,2313,16816.33,7.8,247,47
2024-08,11874,618,2333,19925.58,7.0,279,48
2024-09,13275,575,2410,20164.29,5.7,285,48
2024-10,15301,838,2545,23251.44,6.4,129,49
2024-11,16431,873,2616,21622.01,6.1,208,57
2024-12,14877,687,2527,22675.79,5.7,287,58
2025-01,15121,792,2823,21885.17,5.1,191,59
2025-02,13861,811,2917,19733.33,6.7,154,53
2025-03,13804,725,3099,23393.85,5.0,223,61
2025-04,14601,686,2871,24324.61,5.6,339,58
2025-05,15610,838,2915,23992.16,5.7,301,59
2025-06,15220,743,2914,23831.42,5.3,339,64
2025-07,16556,809,3289,21123.99,4.4,217,57
2025-08,15904,719,3183,22156.92,5.8,269,66
2025-09,15832,866,3252,24415.71,5.5,359,61
2025-10,18515,869,3205,30553.28,5.2,344,70
2025-11,20954,996,3425,31902.32,4.6,308,68
